 4.718E-01 2.775E-01 -4.237E-02 1.534E-01 4.917E-02 3.290E-02 3.876E-02 -1.728E-02 2.163E-01 2.423E+00
 4.842E-01 2.831E-01 -4.322E-02 1.526E-01 4.981E-02 3.316E-02 3.897E-02 -1.766E-02 2.182E-01 2.421E+00
 4.965E-01 2.888E-01 -4.404E-02 1.519E-01 5.045E-02 3.339E-02 3.919E-02 -1.803E-02 2.202E-01 2.413E+00
 5.089E-01 2.945E-01 -4.483E-02 1.512E-01 5.107E-02 3.360E-02 3.944E-02 -1.838E-02 2.221E-01 2.408E+00
 5.213E-01 3.003E-01 -4.560E-02 1.505E-01 5.168E-02 3.379E-02 3.971E-02 -1.871E-02 2.241E-01 2.407E+00
 5.336E-01 3.062E-01 -4.634E-02 1.498E-01 5.228E-02 3.397E-02 4.000E-02 -1.902E-02 2.260E-01 2.404E+00
 5.460E-01 3.121E-01 -4.706E-02 1.491E-01 5.286E-02 3.413E-02 4.029E-02 -1.930E-02 2.278E-01 2.385E+00
 5.584E-01 3.181E-01 -4.777E-02 1.485E-01 5.344E-02 3.427E-02 4.057E-02 -1.957E-02 2.296E-01 2.367E+00
 5.707E-01 3.241E-01 -4.848E-02 1.478E-01 5.400E-02 3.441E-02 4.083E-02 -1.983E-02 2.313E-01 2.352E+00
 5.831E-01 3.302E-01 -4.917E-02 1.472E-01 5.453E-02 3.453E-02 4.107E-02 -2.007E-02 2.329E-01 2.341E+00
 5.955E-01 3.365E-01 -4.985E-02 1.466E-01 5.504E-02 3.464E-02 4.131E-02 -2.031E-02 2.345E-01 2.331E+00
 6.079E-01 3.428E-01 -5.050E-02 1.461E-01 5.553E-02 3.475E-02 4.154E-02 -2.055E-02 2.359E-01 2.322E+00
 6.202E-01 3.492E-01 -5.113E-02 1.455E-01 5.599E-02 3.485E-02 4.175E-02 -2.079E-02 2.373E-01 2.315E+00
 6.326E-01 3.557E-01 -5.172E-02 1.450E-01 5.645E-02 3.494E-02 4.192E-02 -2.103E-02 2.386E-01 2.310E+00
 6.450E-01 3.622E-01 -5.229E-02 1.444E-01 5.690E-02 3.502E-02 4.207E-02 -2.127E-02 2.398E-01 2.307E+00
