 1.607E-02 -5.902E-04
 4.822E-02 -1.280E-04
 8.037E-02 2.601E-04
 1.125E-01 1.233E-03
 1.447E-01 1.305E-03
 1.769E-01 7.966E-04
 2.092E-01 -1.074E-04
 2.414E-01 -1.068E-03
 2.736E-01 -1.805E-03
 3.059E-01 -2.131E-03
 3.381E-01 -2.115E-03
 3.704E-01 -1.835E-03
 4.026E-01 -1.517E-03
 4.348E-01 -1.213E-03
 4.670E-01 -9.732E-04
 4.992E-01 -7.854E-04
 5.315E-01 -5.984E-04
 5.641E-01 -4.465E-04
 5.970E-01 -3.646E-04
 6.303E-01 -2.891E-04
 6.638E-01 -2.252E-04
 6.976E-01 -1.962E-04
 7.318E-01 -1.982E-04
 7.663E-01 -2.226E-04
 8.011E-01 -2.668E-04
 8.362E-01 -3.128E-04
 8.717E-01 -3.797E-04
 9.075E-01 -4.673E-04
 9.436E-01 -5.750E-04
 9.801E-01 -6.757E-04
 1.017E+00 -7.880E-04
 1.054E+00 -9.094E-04
 1.092E+00 -1.046E-03
 1.129E+00 -1.191E-03
 1.168E+00 -1.330E-03
 1.206E+00 -1.456E-03
 1.245E+00 -1.569E-03
 1.284E+00 -1.643E-03
 1.324E+00 -1.696E-03
 1.364E+00 -1.720E-03
 1.405E+00 -1.714E-03
 1.445E+00 -1.687E-03
 1.487E+00 -1.682E-03
 1.528E+00 -1.691E-03
 1.570E+00 -1.696E-03
 1.612E+00 -1.698E-03
 1.655E+00 -1.684E-03
 1.698E+00 -1.652E-03
 1.742E+00 -1.631E-03
 1.786E+00 -1.593E-03
 1.830E+00 -1.571E-03
 1.875E+00 -1.564E-03
 1.920E+00 -1.682E-03
 1.966E+00 -2.062E-03
 2.012E+00 -2.377E-03
 2.058E+00 -2.630E-03
 2.105E+00 -2.862E-03
 2.153E+00 -3.029E-03
 2.200E+00 -3.150E-03
 2.249E+00 -3.257E-03
 2.298E+00 -3.378E-03
 2.347E+00 -3.499E-03
 2.397E+00 -3.569E-03
 2.447E+00 -3.616E-03
 2.497E+00 -3.669E-03
 2.549E+00 -3.717E-03
 2.600E+00 -3.707E-03
 2.652E+00 -3.675E-03
 2.705E+00 -3.621E-03
 2.758E+00 -3.547E-03
 2.811E+00 -3.468E-03
 2.866E+00 -3.452E-03
 2.920E+00 -3.384E-03
 2.975E+00 -3.292E-03
 3.031E+00 -3.200E-03
 3.087E+00 -3.043E-03
 3.144E+00 -2.906E-03
 3.201E+00 -2.824E-03
 3.259E+00 -2.682E-03
 3.317E+00 -2.500E-03
 3.376E+00 -2.355E-03
 3.435E+00 -2.193E-03
 3.495E+00 -2.050E-03
 3.556E+00 -1.892E-03
 3.617E+00 -1.779E-03
 3.678E+00 -1.704E-03
 3.741E+00 -1.552E-03
 3.804E+00 -1.415E-03
 3.867E+00 -1.250E-03
 3.931E+00 -1.134E-03
 3.996E+00 -1.047E-03
 4.061E+00 -9.563E-04
 4.127E+00 -7.952E-04
 4.193E+00 -6.382E-04
 4.260E+00 -4.697E-04
 4.328E+00 -3.141E-04
 4.396E+00 -2.059E-04
 4.465E+00 -6.024E-05
 4.535E+00 2.526E-05
 4.604E+00 9.830E-05
 4.672E+00 1.687E-04
 4.740E+00 2.052E-04
 4.807E+00 2.802E-04
 4.873E+00 3.576E-04
 4.939E+00 3.964E-04
 5.004E+00 4.537E-04
 5.069E+00 5.190E-04
 5.133E+00 5.793E-04
 5.196E+00 6.067E-04
 5.259E+00 6.389E-04
 5.322E+00 7.172E-04
 5.383E+00 7.862E-04
 5.444E+00 8.323E-04
 5.505E+00 8.730E-04
 5.565E+00 9.258E-04
 5.624E+00 9.426E-04
 5.683E+00 9.725E-04
 5.741E+00 1.004E-03
 5.799E+00 1.022E-03
 5.856E+00 1.035E-03
 5.913E+00 1.057E-03
 5.969E+00 1.058E-03
 6.025E+00 1.053E-03
 6.080E+00 1.080E-03
 6.135E+00 1.118E-03
 6.189E+00 1.128E-03
 6.242E+00 1.122E-03
 6.295E+00 1.101E-03
 6.348E+00 1.075E-03
 6.400E+00 1.055E-03
 6.451E+00 1.022E-03
 6.503E+00 9.790E-04
 6.553E+00 9.292E-04
 6.603E+00 8.770E-04
 6.653E+00 8.120E-04
 6.702E+00 7.532E-04
 6.751E+00 6.809E-04
 6.799E+00 6.086E-04
 6.847E+00 5.271E-04
 6.895E+00 4.248E-04
 6.942E+00 3.090E-04
 6.988E+00 1.892E-04
 7.034E+00 6.428E-05
 7.080E+00 -1.202E-04
 7.125E+00 -2.243E-04
 7.170E+00 -2.183E-04
 7.214E+00 -1.849E-04
 7.258E+00 -1.282E-04
 7.302E+00 -2.090E-05
 7.345E+00 1.540E-04
 7.388E+00 3.286E-04
 7.430E+00 5.272E-04
 7.472E+00 7.523E-04
 7.513E+00 9.802E-04
 7.555E+00 1.274E-03
 7.595E+00 1.577E-03
 7.636E+00 1.915E-03
 7.676E+00 2.243E-03
 7.715E+00 2.614E-03
 7.755E+00 2.986E-03
 7.794E+00 3.404E-03
 7.832E+00 3.809E-03
 7.871E+00 4.226E-03
 7.908E+00 4.573E-03
 7.946E+00 4.917E-03
 7.983E+00 5.193E-03
 8.020E+00 5.596E-03
 8.056E+00 5.927E-03
 8.093E+00 6.444E-03
 8.128E+00 6.734E-03
 8.164E+00 7.393E-03
 8.199E+00 8.027E-03
 8.234E+00 8.831E-03
 8.268E+00 9.632E-03
 8.302E+00 1.104E-02
 8.336E+00 1.229E-02
 8.370E+00 1.402E-02
 8.403E+00 1.552E-02
 8.436E+00 1.765E-02
 8.469E+00 1.939E-02
 8.501E+00 2.171E-02
 8.533E+00 2.379E-02
 8.565E+00 2.623E-02
 8.597E+00 2.775E-02
 8.630E+00 2.888E-02
 8.662E+00 2.789E-02
 8.694E+00 2.476E-02
 8.726E+00 1.998E-02
 8.759E+00 1.485E-02
 8.791E+00 1.020E-02
 8.823E+00 6.428E-03
 8.855E+00 3.702E-03
 8.887E+00 1.977E-03
 8.920E+00 7.514E-05
 8.952E+00 2.114E-04
 8.984E+00 -5.246E-04
